Title,Genre,Premiere,Seasons,Runtime,Status
The Mandalorian,Space western,"November 12, 2019","2 seasons, 16 episodes",31–54 min.,Renewed
The Right Stuff,Historical drama,"October 9, 2020","1 season, 8 episodes",42–52 min.,Pending
WandaVision,Superhero comedy-drama,"January 15, 2021",6 episodes,TBA,Miniseries
The Falcon and the Winter Soldier,Superhero action-adventure,"March 19, 2021",6 episodes,TBA,Miniseries
